id,Source,target(zh-CN),target(en-US),target(zh-HK)
ccfe-000000070,当前无权限，请先开启算力漫游权限再发起漫游任务。,当前无权限，请先开启算力漫游权限再发起漫游任务。,"Currently, you have no permission. Please enable the ability to roam before launching the roaming task.",當前無權限，請先開啟算力漫遊權限再發起漫遊任務。
ccfe-000000071,订购资源ID,订购资源ID,Subscription Resource ID,訂購資源ID
ccfe-000000072,原资源池,原资源池,Original resource pool,原資源池
ccfe-000000073,原可用区,原可用区,Original zone,原可用區
ccfe-000000074,原网络工作区,原网络工作区,Original network workspace,原網絡工作區
ccfe-000000075,新资源池,新资源池,New resource pool,新資源池
ccfe-000000076,新可用区,新可用区,New zone,新可用區
ccfe-000000077,新网络工作区,新网络工作区,New Network Workspace,新網絡工作區
ccfe-000000078,设置列表字段,设置列表字段,Set list fields,設置列表字段
ccfe-000000079,任务状态,任务状态,Task Status,任務狀態
ccfe-000000080,任务来源,任务来源,Task source,任務來源
ccfe-000000081,失败原因,失败原因,Failure reason,失敗原因
ccfe-000000082,操作,操作,Operation,操作
ccfe-000000083,展开详情,展开详情,Expand Details,展開詳情
ccfe-000000084,算力漫游服务开启后将支持您或者您的电脑用户进行电脑漫游迁移操作、漫游至其他地域或资源池，算力漫游后的云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢失，请谨慎操作！,算力漫游服务开启后将支持您或者您的电脑用户进行电脑漫游迁移操作、漫游至其他地域或资源池，算力漫游后的云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢失，请谨慎操作！,"After the start of the computing roaming service, it will support you or your computer users to perform computer roaming migration operations, roaming to other regions or resource pools. After the computing roaming, the cloud computer system disk and data disk will be restored to their original state, and the original configuration and data will be lost. Please be careful!",算力漫遊服務開啟後將支持您或者您的電腦用戶進行電腦漫遊遷移操作、漫遊至其他地域或資源池，算力漫遊後的雲電腦系統盤和數據盤均恢復至初始狀態、原有的配置和數據均會丟失，請謹慎操作！
ccfe-000000085,漫游中,漫游中,On Tour,漫遊中
ccfe-000000086,已完成,已完成,Completed,已完成
ccfe-000000087,失败,失败,Fail,失敗
ccfe-000000088,全部资源池,全部资源池,All resource pools,全部資源池
ccfe-000000089,全部可用区,全部可用区,All zones,全部可用區
ccfe-000000090,确定开启算力漫游服务吗？,确定开启算力漫游服务吗？,Are you sure you want to enable the Compute roaming service?,確定開啟算力漫遊服務嗎？
ccfe-000000091,确定关闭算力漫游服务嘛？,确定关闭算力漫游服务嘛？,Are you sure you want to turn off the computing roaming service?,確定關閉算力漫遊服務嘛？
ccfe-000000092,开启后将支持您或者您的电脑用户进行电脑漫游迁移操作、漫游至其他地域或资源池，目前仅支持算力漫游，即漫游后的云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢失，请谨慎操作！,开启后将支持您或者您的电脑用户进行电脑漫游迁移操作、漫游至其他地域或资源池，目前仅支持算力漫游，即漫游后的云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢失，请谨慎操作！,"When enabled, it will support you or your computer users to perform computer roaming migration operations, roaming to other regions or resource pools. At present, it only supports computing roaming, that is, after roaming, the cloud computer system disk and data disk will be restored to their original state, and the original configuration and data will be lost. Please be careful!",開啟後將支持您或者您的電腦用戶進行電腦漫遊遷移操作、漫遊至其他地域或資源池，目前僅支持算力漫遊，即漫遊後的雲電腦系統盤和數據盤均恢復至初始狀態、原有的配置和數據均會丟失，請謹慎操作！
ccfe-000000093,关闭后您和您的电脑用户将无法发起算力漫游迁移任务，请谨慎操作！,关闭后您和您的电脑用户将无法发起算力漫游迁移任务，请谨慎操作！,"After closing, you and your computer users will not be able to initiate the computing roaming migration task. Please be careful!",關閉後您和您的電腦用戶將無法發起算力漫遊遷移任務，請謹慎操作！
ccfe-000000094,开启$关闭,开启$关闭,On $Off,開啟$關閉
ccfe-000000095,刷新完成,刷新完成,Refresh complete,刷新完成
ccfe-000000096,云管平台,云管平台,Cloud management platform,雲管平臺
ccfe-000000097,终端用户,终端用户,End user,終端用戶
ccfe-000000098,控制台,控制台,console,控制檯
ccfe-000000099,规格分布,规格分布,Specification distribution,規格分佈
ccfe-000000100,加载中...,加载中...,Loading,加載中...
ccfe-000000101,全部企业,全部企业,All enterprises,全部企業
ccfe-000000102,全部租户,全部租户,All tenants,全部租戶
ccfe-000000103,规格分布环形图,规格分布环形图,Specification distribution ring chart,規格分佈環形圖
ccfe-000000104,各规格明细,各规格明细,Specifications,各規格明細
ccfe-000000105,电脑使用情况,电脑使用情况,Computer usage,電腦使用情況
ccfe-000000106,已订购统计,已订购统计,Ordered statistics,已訂購統計
ccfe-000000107,请选择,请选择,Please select,請選擇
ccfe-000000108,分配统计,分配统计,Distribution statistics,分配統計
ccfe-000000109,在线统计,在线统计,Online statistics,在線統計
ccfe-000000110,用户,用户,user,用戶
ccfe-000000111,总计/授权,总计/授权,Total/Authorization,總計/授權
ccfe-000000112,总计：当前门户下的云电脑用户总数,总计：当前门户下的云电脑用户总数,Total: total number of cloud computer users under the current portal,總計：當前門戶下的雲電腦用戶總數
ccfe-000000113,授权：用户名下被分配了云电脑，即计为授权用户数,授权：用户名下被分配了云电脑，即计为授权用户数,Authorization: the number of authorized users is the number of cloud computers assigned under the user name,授權：用戶名下被分配了雲電腦，即計為授權用戶數
ccfe-000000114,云电脑,云电脑,Cloud computer,雲電腦
ccfe-000000115,总计/分配,总计/分配,Total/Distribution,總計/分配
ccfe-000000116,总计：当前门户有效的云电脑实例总数,总计：当前门户有效的云电脑实例总数,Total: the total number of cloud computer instances that are valid for the current portal,總計：當前門戶有效的雲電腦實例總數
ccfe-000000117,分配：云电脑被分配到用户名下，即计为已分配的电脑数,分配：云电脑被分配到用户名下，即计为已分配的电脑数,Allocation: The number of cloud computers assigned to the user name is counted as the number of computers assigned,分配：雲電腦被分配到用戶名下，即計為已分配的電腦數
ccfe-000000118,租户,租户,tenant,租戶
ccfe-000000119,总计/有效,总计/有效,Total/Valid,總計/有效
ccfe-000000120,租户：当前门户下的租户数，一个租户即对应一个移动云官网账号，租户名下存在有效的云电脑即计为有效租户,租户：当前门户下的租户数，一个租户即对应一个移动云官网账号，租户名下存在有效的云电脑即计为有效租户,"Tenants: the number of tenants under the current portal. One tenant corresponds to one mobile cloud official website account. If there is a valid cloud computer under the tenant name, it is counted as a valid tenant",租戶：當前門戶下的租戶數，一個租戶即對應一個移動雲官網賬號，租戶名下存在有效的雲電腦即計為有效租戶
ccfe-000000121,实时告警,实时告警,"Real-time Alarm ",實時告警
ccfe-000000122,总计,总计,total,總計
ccfe-000000123,最近一天,最近一天,Last day,最近一天
ccfe-000000124,最近一周,最近一周,Last week,最近一週
ccfe-000000125,最近一月,最近一月,Last month,最近一月
ccfe-000000126,最近一年,最近一年,Last year,最近一年
ccfe-000000127,已订购,已订购,on order,已訂購
ccfe-000000128,暂无数据,暂无数据,No data temporarily,暫無數據
ccfe-000000129,分配,分配,distribution,分配
ccfe-000000130,在线,在线,on line,在線
ccfe-000000131,此操作您没有权限，请联系管理员授权,此操作您没有权限，请联系管理员授权,You do not have permission for this operation. Please contact the administrator for authorization,此操作您沒有權限，請聯繫管理員授權
ccfe-000000132,日,日,day,日
ccfe-000000133,一,一,one,一
ccfe-000000134,二,二,two,二
ccfe-000000135,三,三,three,三
ccfe-000000136,四,四,four,四
ccfe-000000137,五,五,five,五
ccfe-000000138,六,六,six,六
ccfe-000000139,连接会话,连接会话,Connect Session,連接會話
ccfe-000000140,硬终端管理,硬终端管理,Hard terminal management,硬終端管理
ccfe-000000141,漫游服务,漫游服务,"roaming service ",漫遊服務
ccfe-000000142,算力漫游,算力漫游,Computational roaming,算力漫遊
ccfe-000000143,数据漫游,数据漫游,"Data roaming ",數據漫遊
ccfe-000000144,电脑资源监控,电脑资源监控,Computer resource monitoring,電腦資源監控
ccfe-000000145,当前用户无任何权限，请联系管理员授权,当前用户无任何权限，请联系管理员授权,"The current user has no permission, please contact the administrator for authorization",當前用戶無任何權限，請聯繫管理員授權
ccfe-000000146,组织管理,组织管理,Organizational management,組織管理
ccfe-000000147,菜单管理,菜单管理,Menu management,菜單管理
ccfe-000000148,角色管理,角色管理,Role management,角色管理
ccfe-000000149,新增菜单,新增菜单,New Menu,新增菜單
ccfe-000000150,删除菜单,删除菜单,Delete Menu,刪除菜單
ccfe-000000151,编辑菜单,编辑菜单,Edit Menu,編輯菜單
ccfe-000000152,导出菜单,导出菜单,Export Menu,導出菜單
ccfe-000000153,添加角色,添加角色,Add Role,添加角色
ccfe-000000154,删除角色,删除角色,Delete Role,刪除角色
ccfe-000000155,编辑角色,编辑角色,Edit Role,編輯角色
ccfe-000000156,水印设置,水印设置,Watermark settings,水印設置
ccfe-000000157,字典管理,字典管理,Dictionary management,字典管理
ccfe-000000158,字典详情,字典详情,Dictionary Details,字典詳情
ccfe-000000159,新增字典,新增字典,New dictionary,新增字典
ccfe-000000160,编辑字典,编辑字典,Edit dictionary,編輯字典
ccfe-000000161,删除字典,删除字典,Delete Dictionary,刪除字典
ccfe-000000162,查询字典详情,查询字典详情,Query dictionary details,查詢字典詳情
ccfe-000000163,新增字典详情,新增字典详情,New dictionary details,新增字典詳情
ccfe-000000164,删除字典详情,删除字典详情,Delete dictionary details,刪除字典詳情
ccfe-000000165,编辑字典详情,编辑字典详情,Edit dictionary details,編輯字典詳情
ccfe-000000166,概览,概览,overview,概覽
ccfe-000000167,管理员管理,管理员管理,Administrator management,管理員管理
ccfe-000000168,新增管理员,新增管理员,New administrator,新增管理員
ccfe-000000169,会话管理,会话管理,"session management ",會話管理
ccfe-000000170,编辑管理员,编辑管理员,Edit Administrator,編輯管理員
ccfe-000000171,删除管理员,删除管理员,Delete Administrator,刪除管理員
ccfe-000000172,组织架构,组织架构,organizational structure,組織架構
ccfe-000000173,新增组织,新增组织,New Organization,新增組織
ccfe-000000174,编辑组织,编辑组织,Edit Organization,編輯組織
ccfe-000000175,删除组织,删除组织,Delete Organization,刪除組織
ccfe-000000176,组织详情,组织详情,Organization details,組織詳情
ccfe-000000177,用户组管理,用户组管理,User group management,用戶組管理
ccfe-000000178,统计分析,统计分析,statistical analysis,統計分析
ccfe-000000179,管理员日志,管理员日志,Administrator log,管理員日誌
ccfe-000000180,电脑用户日志,电脑用户日志,Computer user log,電腦用戶日誌
ccfe-000000181,组织移动,组织移动,Organization Move,組織移動
ccfe-000000182,连接活跃度,连接活跃度,Connection activity,連接活躍度
ccfe-000000183,使用统计,使用统计,Usage statistics,使用統計
ccfe-000000184,性能统计,性能统计,Performance statistics,性能統計
ccfe-000000185,租户管理,租户管理,Tenant management,租戶管理
ccfe-000000186,用户新增,用户新增,User addition,用戶新增
ccfe-000000187,用户编辑,用户编辑,User Edit,用戶編輯
ccfe-000000188,用户删除,用户删除,User deletion,用戶刪除
ccfe-000000189,重置密码,重置密码,"reset password ",重置密碼
ccfe-000000190,实例管理,实例管理,Instance management,實例管理
ccfe-000000191,操作统计,操作统计,Operation statistics,操作統計
ccfe-000000192,告警管理,告警管理,"alarm management ",告警管理
ccfe-000000193,告警历史,告警历史,"Alarm History ",告警歷史
ccfe-000000194,告警策略,告警策略,Alarm strategy,告警策略
ccfe-000000195,告警联系人,告警联系人,Alarm contact,告警聯繫人
ccfe-000000196,重置密码1,重置密码1,Reset Password 1,重置密碼1
ccfe-000000197,导出,导出,export,導出
ccfe-000000198,导出1,导出1,Export 1,導出1
ccfe-000000199,导出2,导出2,Export 2,導出2
ccfe-000000200,导出3,导出3,Export 3,導出3
ccfe-000000201,断开,断开,Disconnect,斷開
ccfe-000000202,导入,导入,Import,導入
ccfe-000000203,导出4,导出4,Export 4,導出4
ccfe-000000204,移动,移动,move,移動
ccfe-000000205,开机,开机,Start up,開機
ccfe-000000206,关机,关机,Shutdown,關機
ccfe-000000207,重启,重启,Restart,重啟
ccfe-000000208,指定分配,指定分配,Assign,指定分配
ccfe-000000209,重装系统,重装系统,Refitting the system,重裝系統
ccfe-000000210,修改电脑名称,修改电脑名称,Modify PC name,修改電腦名稱
ccfe-000000211,清除,清除,clean up,清除
ccfe-000000212,新增,新增,Add,新增
ccfe-000000213,编辑,编辑,edit,編輯
ccfe-000000214,删除,删除,delete,刪除
ccfe-000000215,新增1,新增1,Add 1,新增1
ccfe-000000216,编辑1,编辑1,Edit 1,編輯1
ccfe-000000217,删除1,删除1,Delete 1,刪除1
ccfe-000000218,性能监控,性能监控,Performance monitoring,性能監控
ccfe-000000219,告警规则,告警规则,Alarm rules,告警規則
ccfe-000000220,新增2,新增2,Add 2,新增2
ccfe-000000221,编辑2,编辑2,Edit 2,編輯2
ccfe-000000222,删除2,删除2,Delete 2,刪除2
ccfe-000000223,授权,授权,authorization,授權
ccfe-000000224,应用管理,应用管理,Application management,應用管理
ccfe-000000225,下载导入模板,下载导入模板,Download import template,下載導入模板
ccfe-000000226,性能监控2,性能监控2,Performance monitoring 2,性能監控2
ccfe-000000227,导出5,导出5,Export 5,導出5
ccfe-000000228,导出6,导出6,Export 6,導出6
ccfe-000000229,资源管理,资源管理,resource management,資源管理
ccfe-000000230,登录会话,登录会话,Login session,登錄會話
ccfe-000000231,导出7,导出7,Export 7,導出7
ccfe-000000232,活跃度统计,活跃度统计,Activity statistics,活躍度統計
ccfe-000000233,导出8,导出8,Export 8,導出8
ccfe-000000234,导出9,导出9,Export 9,導出9
ccfe-000000235,策略管理,策略管理,Policy management,策略管理
ccfe-000000236,用户策略,用户策略,User Policies,用戶策略
ccfe-000000237,终端管理,终端管理,Terminal management,終端管理
ccfe-000000238,一体化服务订单,一体化服务订单,Integrated service order,一體化服務訂單
ccfe-000000239,策略新增,策略新增,New policy,策略新增
ccfe-000000240,策略编辑,策略编辑,Policy Editing,策略編輯
ccfe-000000241,策略删除,策略删除,Policy deletion,策略刪除
ccfe-000000242,导出10,导出10,Export 10,導出10
ccfe-000000243,导入1,导入1,Import 1,導入1
ccfe-000000244,导出11,导出11,Export 11,導出11
ccfe-000000245,关联用户,关联用户,Associated Users,關聯用戶
ccfe-000000246,重发激活通知,重发激活通知,Resend activation notification,重發激活通知
ccfe-000000247,状态修改,状态修改,Status modification,狀態修改
ccfe-000000248,修改电脑密码,修改电脑密码,Change computer password,修改電腦密碼
ccfe-000000249,电脑管理,电脑管理,Computer management,電腦管理
ccfe-000000250,日志管理,日志管理,Log management,日誌管理
ccfe-000000251,创建算力漫游,创建算力漫游,Creating a Computational Walk,創建算力漫遊
ccfe-000000252,创建数据漫游,创建数据漫游,Create data roaming,創建數據漫遊
ccfe-000000253,系统设置,系统设置,System settings,系統設置
ccfe-000000254,AKSK管理,AKSK管理,AKSK management,AKSK管理
ccfe-000000255,运维管理,运维管理,"Mocha ITOM ",運維管理
ccfe-000000256,镜像管理,镜像管理,"Image Management ",鏡像管理
ccfe-000000257,租户白名单,租户白名单,Tenant white list,租戶白名單
ccfe-000000258,重试,重试,"retry ",重試
ccfe-000000259,创建镜像,创建镜像,Create Image,創建鏡像
ccfe-000000260,切换镜像,切换镜像,Switch Image,切換鏡像
ccfe-000000261,客户活跃度,客户活跃度,Customer activity,客戶活躍度
ccfe-000000262,新增3,新增3,Add 3,新增3
ccfe-000000263,删除4,删除4,Delete 4,刪除4
ccfe-000000264,快照管理,快照管理,"snapshot manager ",快照管理
ccfe-000000265,删除5,删除5,Delete 5,刪除5
ccfe-000000266,还原记录,还原记录,Restore Records,還原記錄
ccfe-000000267,电脑策略,电脑策略,Computer Policy,電腦策略
ccfe-000000268,新增策略页面,新增策略页面,New Policy Page,新增策略頁面
ccfe-000000269,查看策略详情,查看策略详情,View policy details,查看策略詳情
ccfe-000000270,关联电脑,关联电脑,Associated PC,關聯電腦
ccfe-000000271,已关联电脑,已关联电脑,Connected PC,已關聯電腦
ccfe-000000272,创建快照,创建快照,"Create Snapshot ",創建快照
ccfe-000000273,还原快照,还原快照,Restore Snapshot,還原快照
ccfe-000000274,策略绑定电脑,策略绑定电脑,Policy binding computer,策略綁定電腦
ccfe-000000275,策略解绑电脑,策略解绑电脑,Policy Unbinding Computer,策略解綁電腦
ccfe-000000276,删除策略,删除策略,Delete Policy,刪除策略
ccfe-000000277,查询策略下发详情,查询策略下发详情,Query policy distribution details,查詢策略下發詳情
ccfe-000000278,编辑云电脑策略,编辑云电脑策略,Edit cloud computer policy,編輯雲電腦策略
ccfe-000000279,重新发起外设策略,重新发起外设策略,Reissue peripheral policy,重新發起外設策略
ccfe-000000280,新增策略,新增策略,New strategy,新增策略
ccfe-000000281,编辑策略页面,编辑策略页面,Edit Policy Page,編輯策略頁面
ccfe-000000282,终端管理(企业门户),终端管理(企业门户),Terminal Management (Enterprise Portal),終端管理(企業門戶)
ccfe-000000283,设备资源管理,设备资源管理,Equipment resource management,設備資源管理
ccfe-000000284,锁定,锁定,Lock,鎖定
ccfe-000000285,解锁,解锁,Unlock,解鎖
ccfe-000000286,绑定用户,绑定用户,Bind User,綁定用戶
ccfe-000000287,解绑用户,解绑用户,Unbind User,解綁用戶
ccfe-000000288,导出12,导出12,Export 12,導出12
ccfe-000000289,导出13,导出13,Export 13,導出13
ccfe-000000290,导出14,导出14,Export 14,導出14
ccfe-000000291,已售电脑分布,已售电脑分布,Distribution of computers sold,已售電腦分佈
ccfe-000000292,导出15,导出15,Export 15,導出15
ccfe-000000293,共享镜像,共享镜像,Shared Image,共享鏡像
ccfe-000000294,本地缓存读取为空，登录失败,本地缓存读取为空，登录失败,"Local cache read is empty, login failed",本地緩存讀取為空，登錄失敗
ccfe-000000295,登录失败：未返回有效 token,登录失败：未返回有效 token,Login failure: no valid token returned,登錄失敗：未返回有效 token
ccfe-000000296,保存,保存,preserve,保存
ccfe-000000297,共,共,common,共
ccfe-000000298,条,条,strip,條
ccfe-000000299,5条/页,5条/页,5 pieces/page,5條/頁
ccfe-000000300,10条/页,10条/页,10 items/page,10條/頁
ccfe-000000301,20条/页,20条/页,20 items/page,20條/頁
ccfe-000000302,50条/页,50条/页,50 records per page,50條/頁
ccfe-000000303,100条/页,100条/页,100 records per page,100條/頁
ccfe-000000304,150条/页,150条/页,150 records per page,150條/頁
ccfe-000000305,操作口令,操作口令,Operation password,操作口令
ccfe-000000306,请输入操作口令,请输入操作口令,Please enter the operation password,請輸入操作口令
